servlets.FullTextSearch.doGet [594120637,257645038]
19-Mar-2017 21:21:59.040 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [2096022,1626336]
19-Mar-2017 21:21:59.090 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [1260895,810399]
19-Mar-2017 21:21:59.135 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [2772873,2316046]
19-Mar-2017 21:21:59.184 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2000184,1551922]
19-Mar-2017 21:21:59.230 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [1797764,1328274]
19-Mar-2017 21:21:59.275 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [1634145,1236041]
19-Mar-2017 21:21:59.320 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [1213026,827937]
19-Mar-2017 21:21:59.365 INFO [http-nio-8080-exec-20] servlets.FullTextSearch.doGet [1290479,887569]
19-Mar-2017 21:21:59.417 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [1246265,867184]
19-Mar-2017 21:21:59.461 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [2135066,1652205]
19-Mar-2017 21:21:59.504 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [1427180,950732]
19-Mar-2017 21:21:59.548 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [1492423,993632]
19-Mar-2017 21:21:59.593 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [2112974,1635713]
19-Mar-2017 21:21:59.640 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2135555,1665989]
19-Mar-2017 21:21:59.685 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [1977487,1525807]
19-Mar-2017 21:21:59.743 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [2231932,1696474]
19-Mar-2017 21:21:59.798 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [1995875,1527157]
19-Mar-2017 21:21:59.844 INFO [http-nio-8080-exec-20] servlets.FullTextSearch.doGet [3132061,2604744]
19-Mar-2017 21:21:59.892 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [2039737,1538596]
19-Mar-2017 21:21:59.939 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [1911065,1410307]
19-Mar-2017 21:21:59.984 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [2098188,1565098]
19-Mar-2017 21:22:00.027 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [2141579,1614674]
19-Mar-2017 21:22:00.072 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [2854447,2320582]
19-Mar-2017 21:22:00.118 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2549895,2058191]
19-Mar-2017 21:22:00.210 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [1969216,1504981]
19-Mar-2017 21:22:00.254 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [1226453,801087]
19-Mar-2017 21:22:00.300 INFO [http-nio-8080-exec-20] servlets.FullTextSearch.doGet [2613191,2159538]
19-Mar-2017 21:22:00.346 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [1240031,809215]
19-Mar-2017 21:22:00.392 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [1651249,728135]
19-Mar-2017 21:22:00.440 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [1213350,821839]
19-Mar-2017 21:22:00.483 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [1209411,837841]
19-Mar-2017 21:22:00.526 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [1193580,788134]
19-Mar-2017 21:22:00.571 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2127946,1708617]
19-Mar-2017 21:22:00.615 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [1250024,813010]
19-Mar-2017 21:22:00.670 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [2100585,1652299]
19-Mar-2017 21:22:00.715 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [2657016,2141215]
19-Mar-2017 21:22:00.764 INFO [http-nio-8080-exec-20] servlets.FullTextSearch.doGet [2056514,1630586]
19-Mar-2017 21:22:00.820 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [2929023,2456689]
19-Mar-2017 21:22:00.865 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [1186425,826831]
19-Mar-2017 21:22:00.910 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [1221367,836526]
19-Mar-2017 21:22:00.954 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [2022129,1596514]
19-Mar-2017 21:22:00.998 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [1952179,1492069]
19-Mar-2017 21:22:01.042 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2009093,1535699]
19-Mar-2017 21:22:01.085 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [1181155,836051]
19-Mar-2017 21:22:01.130 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [1960594,1532739]
19-Mar-2017 21:22:01.175 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [1807007,1384645]
19-Mar-2017 21:22:01.218 INFO [http-nio-8080-exec-20] servlets.FullTextSearch.doGet [1154872,797750]
19-Mar-2017 21:22:01.262 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [2014360,1566666]
19-Mar-2017 21:22:01.307 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [1867336,1424036]
19-Mar-2017 21:22:01.352 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [2506182,2040464]
19-Mar-2017 21:22:01.446 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [2806564,797545]
19-Mar-2017 21:22:01.488 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [1155301,796004]
19-Mar-2017 21:22:01.532 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2030353,1592849]
19-Mar-2017 21:22:01.579 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [1882031,1440989]
19-Mar-2017 21:22:01.625 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [2765206,2296496]
19-Mar-2017 21:22:01.673 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [1985181,1572781]
19-Mar-2017 21:22:01.721 INFO [http-nio-8080-exec-20] servlets.FullTextSearch.doGet [1947243,1511769]
19-Mar-2017 21:22:01.765 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [1942140,1511542]
19-Mar-2017 21:22:01.819 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [2487465,2013538]
19-Mar-2017 21:22:01.866 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [1944631,1487838]
19-Mar-2017 21:22:01.912 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [1962486,1535176]
